Id,Contenu,Réponse
1,"""Nous avons bien reçu votre offre de collaboration et vous remercions de l'intérêt que vous portez à notre Groupe.

Après l'avoir étudiée avec attention, nous sommes au regret de vous informer que nous ne pouvons pas y réserver une suite favorable.

Nous vous souhaitons de concrétiser, dans les meilleurs délais, votre projet professionnel.

Nous vous prions d'agréer, Monsieur, l'expression de nos salutations distinguées.""",Refus
2,"""Nous avons bien reçu votre offre de collaboration et vous remercions de l'intérêt que vous portez à notre société.

Après l'avoir étudiée avec attention, nous sommes au regret de vous informer que nous ne pouvons pas y réserver une suite favorable.

Nous vous souhaitons de concrétiser, dans les meilleurs délais, votre projet professionnel.

Nous vous prions d'agréer, Monsieur, l'expression de nos salutations distinguées.""",Refus
3,"""
Bonjour Kevin,

Nous vous remercions pour votre candidature et l’intérêt que vous nous témoignez pour rejoindre notre société.

Nous avons étudié votre profil pour le poste de Data Engineer et nous sommes au regret de vous informer que nous ne sommes pas en mesure de lui fournir une suite favorable.

Si vous avez donné votre consentement lors de votre candidature, votre CV pourra être conservé pendant 2 ans afin de vous proposer d’autres opportunités susceptibles de vous intéresser.

Les informations personnelles que vous nous avez transmises sont exploitées dans le seul but d’étudier votre candidature. La protection de vos données est une priorité pour nous. Vous trouverez ici notre « Politique de protection des données personnelles », qui explique quel usage est fait de vos informations, la manière dont elles sont exploitées et conservées. Y figurent également le rappel de vos droits concernant vos données personnelles et les moyens de nous contacter pour toute question ou demande.

N’hésitez pas à rester connecté sur notre page carrière et vous tenir informé des futures opportunités !

Nous vous souhaitons bonne chance dans vos recherches.""",Refus
4,"""Merci de l'intérêt porté à notre société.
Nous avons examiné votre candidature avec attention pour : Ingénieur-e AI & Data Specialist – Support & Services 4.0 F/H - 2025-152693 - Safran Electronics & Defense - Massy 

Malgré les points positifs qu'elle présente, nous regrettons de ne pouvoir y donner une suite favorable, votre profil ne correspondant pas exactement à nos critères de recrutement pour ce poste.

Restez connecté-e sur notre site talent pour découvrir l’ensemble de nos opportunités et faire décoller vos projets !""",Refus
5,"""Nous avons bien reçu votre candidature pour le poste Data scientist. Data scientiste sénior F/H et nous vous remercions de l'intérêt que vous portez à notre société.

Cependant, malgré l'intérêt que suscite votre candidature, nous sommes au regret de ne pas pouvoir répondre favorablement à votre demande. Nous vous proposons toutefois, sauf avis contraire de votre part, de conserver votre candidature afin de vous contacter si un poste susceptible de vous intéresser venait à se présenter.

En vous souhaitant pleine réussite dans vos projets, nous vous prions d'agréer, Monsieur Li Kevin, nos meilleures salutations.""",Refus
6,"""Nous avons bien reçu votre offre de collaboration et vous remercions de l'intérêt que vous portez à notre société.

Après l'avoir étudiée avec attention, nous sommes au regret de vous informer que nous ne pouvons pas y réserver une suite favorable.

Nous vous souhaitons de concrétiser, dans les meilleurs délais, votre projet professionnel.

Nous vous prions d'agréer, Monsieur, l'expression de nos salutations distinguées.""",Refus
7,"""Nous vous remercions de l’attention que vous avez portée à notre société en nous faisant parvenir votre candidature.

Après une étude très attentive de votre dossier, nous sommes au regret de ne pas pouvoir lui réserver une suite favorable, malgré tout l'intérêt qu'il présente.

En vous souhaitant bonne chance dans vos recherches, nous vous prions de croire en l'assurance de nos sentiments distingués.""",Refus
8,"""Nous avons bien reçu votre candidature et vous remercions de la confiance et l’intérêt que vous nous témoignez. Afin d'entamer le processus de recrutement, nous aimerions vous inviter à réaliser différents tests, depuis chez vous, en lien avec le poste visé.  

Aussi, veuillez trouver ci-joint les homeworks à nous rendre le plus rapidement possible et avant le 30/05 svp.
Veuillez nous répondre par email en cliquant sur ""répondre"" afin de garder la même trame de nos conversations. Notre retour est plus rapide si vous rassemblez tous vos éléments dans l’ordre et en un minimum de fichiers pdf.
Pour des raisons de sécurité, les fichiers à télécharger ne seront pas pris en compte. """,En cours
9,"""Bonjour,
Nous avons le plaisir de vous inviter à un entretien concernant votre candidature au poste de Data Analyst.""",En cours
10,"""Suite à l’étude de votre dossier, nous souhaiterions vous rencontrer pour un premier entretien.""",En cours
11,"""Votre profil a retenu notre attention. Nous vous proposons un entretien la semaine prochaine.""",En cours
12,"""Merci pour votre candidature. Nous aimerions planifier un échange afin d’en discuter davantage.",En cours
13,"Félicitations, vous avez été sélectionné·e pour la prochaine étape du processus de recrutement.",En cours
14,Nous vous remercions pour votre candidature. Un entretien est prévu afin d’évaluer plus en détail vos compétences.,En cours
15,Votre profil correspond à nos attentes. Seriez-vous disponible pour un entretien téléphonique ?,En cours
16,Nous aimerions organiser un entretien Teams avec vous afin d’approfondir certains points de votre parcours.,En cours
17,Vous êtes convié·e à un entretien de présélection avec notre chargé de recrutement.,En cours
18,Nous souhaiterions échanger avec vous dans le cadre de votre candidature chez [Nom de l'entreprise].,En cours
19,Vous avez été retenu·e pour la suite du processus. Un entretien est prévu sous peu.,En cours
20,Nous avons bien reçu votre candidature et aimerions vous rencontrer pour un entretien.,En cours
21,Votre parcours est intéressant. Nous proposons de planifier un entretien.,En cours
22,Seriez-vous disponible pour un échange en visioconférence dans les prochains jours ?,En cours
23,Vous êtes convié·e à un entretien RH le [date] à [heure].,En cours
24,Nous avons le plaisir de vous informer que vous avez été présélectionné·e pour un entretien.,En cours
25,Nous aimerions en savoir plus sur vous. Acceptons-nous un rendez-vous pour un entretien ?,En cours
26,"Suite à votre candidature, nous vous proposons un entretien avec le manager du poste.",En cours
27,Nous sommes ravis de vous inviter à un entretien de recrutement.,En cours
28,Nous vous remercions de votre candidature et souhaitons échanger avec vous très prochainement.,En cours
29,Notre équipe recrutement souhaite organiser un entretien avec vous.,En cours
30,Vous avez franchi la première étape. Un entretien est prévu avec nos équipes.,En cours
31,Nous avons le plaisir de vous informer que votre candidature a été retenue pour le poste.,Accepte
32,Nous sommes heureux de vous annoncer que nous souhaitons vous faire une proposition d’embauche.,Accepte
33,"Suite à votre entretien, nous avons décidé de vous proposer une embauche au sein de notre entreprise.",Accepte
34,C’est avec enthousiasme que nous vous annonçons votre sélection pour le poste.,Accepte
35,Nous avons apprécié nos échanges et avons le plaisir de vous proposer le poste.,Accepte
36,Vous avez été retenu·e à l’unanimité. Bienvenue dans l’équipe !,Accepte
37,Nous vous confirmons que votre profil a été validé par notre comité de recrutement.,Accepte
38,Votre candidature a abouti favorablement. Nous sommes heureux de vous accueillir.,Accepte
39,Nous vous confirmons votre embauche. Un contrat de travail vous sera transmis sous peu.,Accepte
40,"Félicitations ! Votre profil correspond à nos besoins, nous vous attendons pour débuter le poste.",Accepte
41,Vous avez franchi avec succès toutes les étapes du recrutement. Bienvenue chez [nom entreprise].,Accepte
42,Nous avons décidé de vous faire confiance pour occuper le poste proposé.,Accepte
43,Nous validons votre recrutement. Vous trouverez ci-joint votre promesse d’embauche.,Accepte
44,Votre candidature s’est démarquée et nous sommes ravis de vous faire une offre.,Accepte
45,"Suite à la dernière étape du processus, nous sommes heureux de vous faire part de notre décision positive.",Accepte
46,C’est avec plaisir que nous vous accueillons dans notre structure.,Accepte
47,Vous êtes retenu·e. Merci de nous confirmer votre accord pour finaliser l’embauche.,Accepte
48,"Après délibération, nous avons le plaisir de valider votre intégration à notre équipe.",Accepte
49,Nous vous confirmons une suite favorable à votre candidature.,Accepte
50,Votre motivation et vos compétences nous ont convaincus. Bienvenue à bord.,Accepte
51,Nous avons pris notre décision : vous êtes le/la candidat·e retenu·e.,Accepte
52,Nous avons le plaisir de finaliser votre recrutement au poste de [intitulé].,Accepte
53,Votre profil a été validé. Un contrat vous sera envoyé dans les prochains jours.,Accepte
54,"Après étude de votre dossier, nous ne pouvons malheureusement pas donner une suite favorable à votre candidature.",Refus
55,Nous avons le regret de vous informer que votre profil n’a pas été retenu.,Refus
56,Votre candidature n’a pas été sélectionnée pour ce poste.,Refus
57,"Malgré la qualité de votre parcours, nous avons décidé de poursuivre avec d'autres candidats.",Refus
58,"Nous vous remercions pour l’intérêt porté à notre entreprise, mais votre profil ne correspond pas à nos besoins actuels.",Refus
59,Votre candidature ne correspond pas aux critères que nous recherchons pour ce poste.,Refus
60,"Nous avons bien reçu votre candidature, mais avons décidé de ne pas y donner suite.",Refus
61,Votre profil ne correspond pas pleinement aux attentes du poste.,Refus
62,Nous avons retenu un autre candidat pour ce poste.,Refus
63,Nous avons choisi de ne pas retenir votre candidature à ce stade du processus.,Refus
64,"Malgré un parcours intéressant, nous avons décidé de ne pas retenir votre dossier.",Refus
65,"Votre candidature a été soigneusement étudiée, mais elle n’a pas été retenue.",Refus
66,"Nous vous remercions de l’intérêt que vous avez porté à notre entreprise, mais votre profil n’a pas été retenu.",Refus
67,Nous avons reçu de nombreuses candidatures et avons porté notre choix sur un autre candidat.,Refus
68,Ce poste a été pourvu à un autre profil.,Refus
69,"Nous avons étudié attentivement votre profil, mais il ne correspond pas à nos critères de sélection.",Refus
70,Votre expérience ne correspond pas totalement aux besoins exprimés pour ce poste.,Refus
71,"Nous avons apprécié votre candidature, mais avons fait un choix différent.",Refus
72,"Après délibération, nous ne pouvons pas donner de suite favorable à votre demande.",Refus
73,Votre candidature n’a pas été retenue pour le poste visé.,Refus
74,Ce poste ne correspond pas à votre profil ou à votre expérience actuelle.,Refus
75,"Bien que votre profil soit intéressant, nous avons choisi de poursuivre avec d'autres candidats.",Refus
76,Nous n'avons pas retenu votre candidature à l'issue de l'étude des dossiers.,Refus
77,Nous avons préféré un candidat avec un profil plus proche de nos attentes.,Refus
78,Nous avons décidé de mettre fin à votre processus de recrutement chez nous.,Refus
79,Votre profil ne répond pas aux besoins actuels de l'équipe.,Refus
80,"Le poste étant pourvu, nous clôturons le processus de recrutement.",Refus
81,Vous ne faites pas partie des candidats retenus pour la prochaine étape.,Refus
82,"Votre profil n'a pas été retenu, mais nous vous remercions pour votre intérêt.",Refus
83,"Nous conservons votre dossier pour de futures opportunités, mais ce poste ne vous sera pas proposé.",Refus
